task_id,algorithm,fold,classif.auc,classif.ce
CanadaFires_all,featureless,10,0.5,0.336116910229645
CanadaFires_downSampled,featureless,1,0.5,0.393333333333333
CanadaFires_downSampled,featureless,2,0.5,0.393333333333333
CanadaFires_downSampled,featureless,3,0.5,0.393333333333333
CanadaFires_downSampled,featureless,4,0.5,0.393333333333333
CanadaFires_downSampled,featureless,5,0.5,0.395973154362416
CanadaFires_downSampled,featureless,6,0.5,0.395973154362416
CanadaFires_downSampled,featureless,7,0.5,0.395973154362416
CanadaFires_downSampled,featureless,8,0.5,0.395973154362416
CanadaFires_downSampled,featureless,9,0.5,0.391891891891892
CanadaFires_downSampled,featureless,10,0.5,0.394557823129252
EMNIST,featureless,1,,0.896
EMNIST,featureless,2,,0.900571428571429
EMNIST,featureless,3,,0.901714285714286
EMNIST,featureless,4,,0.901
EMNIST,featureless,5,,0.892
EMNIST,featureless,6,,0.907142857142857
EMNIST,featureless,7,,0.900571428571429
EMNIST,featureless,8,,0.900714285714286
EMNIST,featureless,9,,0.909428571428571
EMNIST,featureless,10,,0.903714285714286
FashionMNIST,featureless,1,,0.901571428571429
FashionMNIST,featureless,2,,0.899857142857143
FashionMNIST,featureless,3,,0.900142857142857
FashionMNIST,featureless,4,,0.893714285714286
FashionMNIST,featureless,5,,0.903428571428572
FashionMNIST,featureless,6,,0.899
FashionMNIST,featureless,7,,0.900714285714286
FashionMNIST,featureless,8,,0.900857142857143
FashionMNIST,featureless,9,,0.903714285714286
FashionMNIST,featureless,10,,0.903142857142857
KMNIST,featureless,1,,0.896714285714286
KMNIST,featureless,2,,0.901428571428571
KMNIST,featureless,3,,0.901571428571429
KMNIST,featureless,4,,0.897857142857143
KMNIST,featureless,5,,0.904
KMNIST,featureless,6,,0.897285714285714
KMNIST,featureless,7,,0.9
KMNIST,featureless,8,,0.899285714285714
KMNIST,featureless,9,,0.896857142857143
KMNIST,featureless,10,,0.896714285714286
MNIST,featureless,1,,0.887446504992867
MNIST,featureless,2,,0.887398315969745
MNIST,featureless,3,,0.887460725506998
MNIST,featureless,4,,0.887444650764177
MNIST,featureless,5,,0.887428571428572
MNIST,featureless,6,,0.887539296941984
MNIST,featureless,7,,0.887539296941984
MNIST,featureless,8,,0.887539296941984
MNIST,featureless,9,,0.887474978553045
MNIST,featureless,10,,0.887442791762014
MNIST_EMNIST,featureless,1,,0.893752231345948
MNIST_EMNIST,featureless,2,,0.893744644387318
MNIST_EMNIST,featureless,3,,0.893744644387318
MNIST_EMNIST,featureless,4,,0.893721877008785
MNIST_EMNIST,featureless,5,,0.893714285714286
MNIST_EMNIST,featureless,6,,0.893706693335238
MNIST_EMNIST,featureless,7,,0.89369909987141
MNIST_EMNIST,featureless,8,,0.893762949203401
MNIST_EMNIST,featureless,9,,0.893755358673907
MNIST_EMNIST,featureless,10,,0.893755358673907
MNIST_EMNIST_rot,featureless,1,,0.893752231345948
MNIST_EMNIST_rot,featureless,2,,0.893744644387318
MNIST_EMNIST_rot,featureless,3,,0.893744644387318
MNIST_EMNIST_rot,featureless,4,,0.893721877008785
MNIST_EMNIST_rot,featureless,5,,0.893714285714286
MNIST_EMNIST_rot,featureless,6,,0.893706693335238
MNIST_EMNIST_rot,featureless,7,,0.89369909987141
MNIST_EMNIST_rot,featureless,8,,0.893762949203401
MNIST_EMNIST_rot,featureless,9,,0.893755358673907
MNIST_EMNIST_rot,featureless,10,,0.893755358673907
MNIST_FashionMNIST,featureless,1,,0.893752231345948
MNIST_FashionMNIST,featureless,2,,0.893744644387318
MNIST_FashionMNIST,featureless,3,,0.893744644387318
MNIST_FashionMNIST,featureless,4,,0.893721877008785
MNIST_FashionMNIST,featureless,5,,0.893714285714286
MNIST_FashionMNIST,featureless,6,,0.893706693335238
MNIST_FashionMNIST,featureless,7,,0.89369909987141
MNIST_FashionMNIST,featureless,8,,0.893762949203401
MNIST_FashionMNIST,featureless,9,,0.893755358673907
MNIST_FashionMNIST,featureless,10,,0.893755358673907
NSCH_autism,featureless,1,0.5,0.0306321963936563
NSCH_autism,featureless,2,0.5,0.030638852672751
NSCH_autism,featureless,3,0.5,0.030638852672751
NSCH_autism,featureless,4,0.5,0.030638852672751
NSCH_autism,featureless,5,0.5,0.030638852672751
NSCH_autism,featureless,6,0.5,0.030638852672751
NSCH_autism,featureless,7,0.5,0.0304347826086957
NSCH_autism,featureless,8,0.5,0.030223961730811
NSCH_autism,featureless,9,0.5,0.030223961730811
NSCH_autism,featureless,10,0.5,0.030223961730811
QMNIST,featureless,1,,0.887186745483307
QMNIST,featureless,2,,0.887223055139097
QMNIST,featureless,3,,0.887278180454886
QMNIST,featureless,4,,0.887268788535244
QMNIST,featureless,5,,0.88725
QMNIST,featureless,6,,0.887231205200867
QMNIST,featureless,7,,0.887221805451363
QMNIST,featureless,8,,0.887212404134712
QMNIST,featureless,9,,0.887193596798399
QMNIST,featureless,10,,0.887184190777954
spam,featureless,1,0.5,0.393939393939394
spam,featureless,2,0.5,0.394793926247289
spam,featureless,3,0.5,0.394793926247289
spam,featureless,4,0.5,0.394793926247289
spam,featureless,5,0.5,0.394793926247289
spam,featureless,6,0.5,0.393478260869565
spam,featureless,7,0.5,0.393478260869565
spam,featureless,8,0.5,0.394335511982571
spam,featureless,9,0.5,0.393013100436681
spam,featureless,10,0.5,0.393013100436681
