grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
161,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,7,1,450,41,all,2026-03-03T13:39:25.118182Z,2026-03-03T13:39:33.043936Z,32,0.827586206896552
162,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,7,1,720,42,all,2026-03-03T13:39:25.155028Z,2026-03-03T13:39:33.213340Z,38,0.827586206896552
163,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,8,1,270,43,all,2026-03-03T13:39:31.187874Z,2026-03-03T13:39:38.681639Z,35,0.816326530612245
164,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,8,1,450,44,all,2026-03-03T13:39:31.254862Z,2026-03-03T13:39:38.712584Z,33,0.836734693877551
165,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,8,1,720,45,all,2026-03-03T13:39:31.347078Z,2026-03-03T13:39:38.907281Z,43,0.857142857142857
166,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,8,1,270,46,all,2026-03-03T13:39:31.399202Z,2026-03-03T13:39:38.924886Z,34,0.896551724137931
167,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,8,1,450,47,all,2026-03-03T13:39:31.445627Z,2026-03-03T13:39:38.959785Z,39,0.793103448275862
168,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,8,1,720,48,all,2026-03-03T13:39:31.465652Z,2026-03-03T13:39:39.092046Z,37,0.862068965517241
169,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,9,1,270,49,all,2026-03-03T13:39:32.237712Z,2026-03-03T13:39:39.706075Z,28,0.775510204081633
16,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,all,720,3,1,270,16,all,2026-03-03T13:28:23.528954Z,2026-03-03T13:30:41.134852Z,23,0.32258064516129
170,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,9,1,450,50,all,2026-03-03T13:39:32.588988Z,2026-03-03T13:39:40.313717Z,41,0.795918367346939
171,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,9,1,720,51,all,2026-03-03T13:39:32.723570Z,2026-03-03T13:39:40.369696Z,36,0.755102040816326
172,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,9,1,270,52,all,2026-03-03T13:39:32.791341Z,2026-03-03T13:39:40.831330Z,30,0.862068965517241
173,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,9,1,450,53,all,2026-03-03T13:39:32.878513Z,2026-03-03T13:39:40.464251Z,40,0.793103448275862
174,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,9,1,720,54,all,2026-03-03T13:39:32.897424Z,2026-03-03T13:39:41.124691Z,42,0.862068965517241
175,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,10,1,270,55,all,2026-03-03T13:39:32.917517Z,2026-03-03T13:39:40.770620Z,29,0.816326530612245
176,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,10,1,450,56,all,2026-03-03T13:39:33.050062Z,2026-03-03T13:39:40.627062Z,32,0.816326530612245
177,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,10,1,720,57,all,2026-03-03T13:39:33.072975Z,2026-03-03T13:39:40.994793Z,31,0.836734693877551
178,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,10,1,270,58,all,2026-03-03T13:39:33.219517Z,2026-03-03T13:39:41.012063Z,38,0.896551724137931
179,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,10,1,450,59,all,2026-03-03T13:39:38.687541Z,2026-03-03T13:39:46.069358Z,35,0.896551724137931
17,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,all,720,3,1,450,17,all,2026-03-03T13:28:23.529063Z,2026-03-03T13:30:41.136559Z,30,0.32258064516129
180,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,10,1,720,60,all,2026-03-03T13:39:38.718433Z,2026-03-03T13:39:46.231988Z,33,0.896551724137931
181,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,1,1,270,61,other,2026-03-03T13:39:38.913430Z,2026-03-03T13:39:46.278479Z,43,0.865384615384615
182,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,1,1,270,62,other,2026-03-03T13:39:38.930776Z,2026-03-03T13:39:46.282754Z,34,0.903225806451613
183,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,1,1,450,63,other,2026-03-03T13:39:38.965884Z,2026-03-03T13:39:46.896477Z,39,0.806451612903226
184,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,2,1,270,64,other,2026-03-03T13:39:39.098072Z,2026-03-03T13:39:47.051290Z,37,0.903846153846154
185,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,2,1,270,65,other,2026-03-03T13:39:39.712202Z,2026-03-03T13:39:47.332177Z,28,0.838709677419355
186,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,2,1,450,66,other,2026-03-03T13:39:40.319847Z,2026-03-03T13:39:48.012343Z,41,0.838709677419355
187,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,3,1,270,67,other,2026-03-03T13:39:40.375752Z,2026-03-03T13:39:47.894168Z,36,0.862745098039216
188,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,3,1,270,68,other,2026-03-03T13:39:40.470211Z,2026-03-03T13:39:48.028567Z,40,0.870967741935484
