grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
178,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,9,1,4500,117,same,2026-02-24T21:43:26.078797Z,2026-02-24T22:18:50.582633Z,40,0.354
179,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,10,1,4500,118,same,2026-02-24T21:43:52.077993Z,2026-02-24T22:33:57.646542Z,13,0.3725
18,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,9,1,11700,54,all,2026-02-24T18:26:11.144367Z,2026-02-24T20:53:29.589488Z,13,0.382
180,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,10,1,4500,120,same,2026-02-24T21:44:14.661165Z,2026-02-24T22:29:15.160748Z,42,0.34
181,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,1,1,4500,1,all,2026-02-24T21:45:23.924340Z,2026-02-24T21:47:29.874217Z,25,0.0975
182,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,1,1,4500,4,all,2026-02-24T21:46:54.450655Z,2026-02-24T21:47:08.955124Z,27,0.086
183,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,2,1,4500,7,all,2026-02-24T21:47:08.959434Z,2026-02-24T21:47:23.733828Z,27,0.08
184,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,2,1,4500,10,all,2026-02-24T21:47:23.738663Z,2026-02-24T21:47:39.025384Z,27,0.09
185,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,3,1,4500,13,all,2026-02-24T21:47:29.878670Z,2026-02-24T21:47:44.472421Z,25,0.10125
186,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,3,1,4500,16,all,2026-02-24T21:47:39.030078Z,2026-02-24T21:47:54.146751Z,27,0.08
187,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,4,1,4500,19,all,2026-02-24T21:47:44.476196Z,2026-02-24T21:47:58.842461Z,25,0.09625
188,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,4,1,4500,22,all,2026-02-24T21:47:54.150727Z,2026-02-24T21:48:09.123782Z,27,0.134
189,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,5,1,4500,25,all,2026-02-24T21:47:58.846698Z,2026-02-24T21:48:14.013261Z,25,0.09125
19,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,10,1,11700,57,all,2026-02-24T18:26:11.144314Z,2026-02-24T22:18:10.841625Z,11,0.39625
190,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,5,1,4500,28,all,2026-02-24T21:47:59.635821Z,2026-02-24T21:48:14.066578Z,29,0.106
191,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,6,1,4500,31,all,2026-02-24T21:48:09.128037Z,2026-02-24T21:48:23.275102Z,27,0.11125
192,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,6,1,4500,34,all,2026-02-24T21:48:14.017240Z,2026-02-24T21:48:29.322965Z,25,0.114
193,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,7,1,4500,37,all,2026-02-24T21:48:14.071022Z,2026-02-24T21:48:29.517086Z,29,0.09875
194,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,7,1,4500,40,all,2026-02-24T21:48:23.279009Z,2026-02-24T21:48:38.498443Z,27,0.094
195,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,8,1,4500,43,all,2026-02-24T21:48:29.327020Z,2026-02-24T21:48:44.327048Z,25,0.1
196,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,8,1,4500,46,all,2026-02-24T21:48:29.522042Z,2026-02-24T21:48:44.648592Z,29,0.098
197,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,9,1,4500,49,all,2026-02-24T21:48:30.749139Z,2026-02-24T21:48:46.555174Z,34,0.10625
198,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,9,1,4500,52,all,2026-02-24T21:48:33.763766Z,2026-02-24T21:48:48.766995Z,24,0.11
199,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,10,1,4500,55,all,2026-02-24T21:48:38.502956Z,2026-02-24T21:48:53.697707Z,27,0.0975
2,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,1,1,11700,6,all,2026-02-24T18:26:11.143851Z,2026-02-24T20:05:01.781320Z,39,0.376
20,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,10,1,11700,60,all,2026-02-24T18:26:11.144368Z,2026-02-24T20:47:35.103127Z,14,0.36
200,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,10,1,4500,58,all,2026-02-24T21:48:39.595439Z,2026-02-24T23:07:41.788338Z,18,0.094
201,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,1,1,4500,61,other,2026-02-24T21:48:44.331237Z,2026-02-24T21:48:58.595626Z,25,0.0875
202,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,1,1,4500,62,other,2026-02-24T21:48:44.653075Z,2026-02-24T21:48:59.702838Z,29,0.116
203,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,2,1,4500,64,other,2026-02-24T21:48:46.558915Z,2026-02-24T21:49:02.750737Z,34,0.09375
204,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,2,1,4500,65,other,2026-02-24T21:48:48.770463Z,2026-02-24T21:49:03.884658Z,24,0.096
205,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,3,1,4500,67,other,2026-02-24T21:48:53.701574Z,2026-02-24T21:49:08.841615Z,27,0.1075
206,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,3,1,4500,68,other,2026-02-24T21:48:58.599280Z,2026-02-24T21:49:13.526620Z,25,0.094
207,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,4,1,4500,70,other,2026-02-24T21:48:59.707207Z,2026-02-24T21:49:14.900540Z,29,0.09375
208,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,4,1,4500,71,other,2026-02-24T21:49:02.754678Z,2026-02-24T21:49:19.223957Z,34,0.102
209,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,5,1,4500,73,other,2026-02-24T21:49:03.888307Z,2026-02-24T21:49:19.307064Z,24,0.1175
21,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,1,1,11700,3,all,2026-02-24T18:26:11.144727Z,2026-02-24T18:31:13.802963Z,42,0.10375
210,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,5,1,4500,74,other,2026-02-24T21:49:08.845469Z,2026-02-24T21:49:23.584527Z,27,0.098
211,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,6,1,4500,76,other,2026-02-24T21:49:13.530469Z,2026-02-24T21:49:28.557001Z,25,0.085
212,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,6,1,4500,77,other,2026-02-24T21:49:14.905827Z,2026-02-24T21:49:29.935006Z,29,0.116
213,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,7,1,4500,79,other,2026-02-24T21:49:19.227747Z,2026-02-24T21:49:35.447377Z,34,0.1075
214,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,7,1,4500,80,other,2026-02-24T21:49:19.310611Z,2026-02-24T21:49:34.212914Z,24,0.102
215,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,8,1,4500,82,other,2026-02-24T21:49:23.588387Z,2026-02-24T21:49:38.151894Z,27,0.0925
216,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,8,1,4500,83,other,2026-02-24T21:49:28.560693Z,2026-02-24T21:49:43.169432Z,25,0.102
217,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,9,1,4500,85,other,2026-02-24T21:49:29.939679Z,2026-02-24T21:49:45.011870Z,29,0.11
218,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,9,1,4500,86,other,2026-02-24T21:49:34.216447Z,2026-02-24T21:49:49.445453Z,24,0.094
219,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,other,4500,10,1,4500,88,other,2026-02-24T21:49:35.450964Z,2026-02-24T21:49:51.318699Z,34,0.1025
22,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,1,1,11700,6,all,2026-02-24T18:26:11.144966Z,2026-02-24T18:27:40.376539Z,27,0.102
220,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,10,1,4500,89,other,2026-02-24T21:49:38.155891Z,2026-02-24T21:49:53.417998Z,27,0.08
221,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,same,7200,1,1,4500,91,same,2026-02-24T21:49:43.173028Z,2026-02-24T21:49:57.752664Z,25,0.08875
222,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,same,4500,1,1,4500,93,same,2026-02-24T21:49:44.564249Z,2026-02-24T23:05:27.122135Z,17,0.108
223,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,same,7200,2,1,4500,94,same,2026-02-24T21:49:45.016394Z,2026-02-24T21:50:00.726277Z,29,0.09
224,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,same,4500,2,1,4500,96,same,2026-02-24T21:49:49.448936Z,2026-02-24T21:50:04.400935Z,24,0.092
225,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,same,7200,3,1,4500,97,same,2026-02-24T21:49:51.322623Z,2026-02-24T21:50:06.400318Z,34,0.08125
226,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,same,4500,3,1,4500,99,same,2026-02-24T21:49:52.812758Z,2026-02-24T21:50:07.258269Z,30,0.096
227,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,same,7200,4,1,4500,100,same,2026-02-24T21:49:53.421608Z,2026-02-24T21:50:08.671953Z,27,0.09
228,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,same,4500,4,1,4500,102,same,2026-02-24T21:49:57.756655Z,2026-02-24T21:50:12.520026Z,25,0.094
229,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,same,7200,5,1,4500,103,same,2026-02-24T21:50:00.731126Z,2026-02-24T21:50:16.119735Z,29,0.09
23,1,2,1,STL10,classif.featureless,same_other_sizes_cv,test,all,11700,2,1,11700,9,all,2026-02-24T18:26:11.145322Z,2026-02-24T18:27:27.432468Z,24,0.1075
230,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,same,4500,5,1,4500,105,same,2026-02-24T21:50:04.404643Z,2026-02-24T21:50:19.561750Z,24,0.1
