grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
166,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,3,1,16381,98,same,2026-02-24T03:19:15.300632Z,2026-02-24T03:20:11.122903Z,40,0.967407343487078,0.978784609852571
167,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,4,1,16381,100,same,2026-02-24T03:19:15.863955Z,2026-02-24T03:20:34.395509Z,11,0.969221661690517,0.976935749588138
168,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,4,1,16381,101,same,2026-02-24T03:19:16.172440Z,2026-02-24T03:20:19.729809Z,46,0.95704793545325,0.973750449478605
169,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,5,1,16381,103,same,2026-02-24T03:19:20.674314Z,2026-02-24T03:20:34.755015Z,39,0.968279625244517,0.973091707852828
16,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,8,1,41408,48,all,2026-02-24T03:17:56.617283Z,2026-02-24T03:22:26.378312Z,59,0.975165338862818,0.976978417266187
170,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,5,1,16381,104,same,2026-02-24T03:19:22.203260Z,2026-02-24T03:20:14.951343Z,43,0.966876644949734,0.976627112549443
171,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,6,1,16381,106,same,2026-02-24T03:19:24.180049Z,2026-02-24T03:20:44.018795Z,38,0.966400700092659,0.975837451949478
172,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,6,1,16381,107,same,2026-02-24T03:19:25.412382Z,2026-02-24T03:20:37.139777Z,37,0.96657246408077,0.976986695433297
173,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,7,1,16381,109,same,2026-02-24T03:19:32.608501Z,2026-02-24T03:21:14.333209Z,74,0.96770013639702,0.972512369433755
174,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,7,1,16381,110,same,2026-02-24T03:19:36.380271Z,2026-02-24T03:21:30.705766Z,70,0.94576735556802,0.970154620640058
175,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,8,1,16381,112,same,2026-02-24T03:19:39.163473Z,2026-02-24T03:21:06.031117Z,3,0.965260728150246,0.971412864211105
176,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,8,1,16381,113,same,2026-02-24T03:19:45.038841Z,2026-02-24T03:21:21.300365Z,16,0.973541416566626,0.977338129496403
177,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,9,1,16381,115,same,2026-02-24T03:19:46.564696Z,2026-02-24T03:21:25.591206Z,72,0.960434372049103,0.974711379879054
178,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,9,1,16381,116,same,2026-02-24T03:19:46.673446Z,2026-02-24T03:21:27.986263Z,24,0.966569900687548,0.975539568345324
179,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,10,1,16381,118,same,2026-02-24T03:19:47.096133Z,2026-02-24T03:21:18.218831Z,22,0.962926240688281,0.97086311159978
17,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,9,1,41408,51,all,2026-02-24T03:17:56.617645Z,2026-02-24T03:21:51.965385Z,25,0.968859511069144,0.973611874656405
180,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,10,1,16381,119,same,2026-02-24T03:19:49.786019Z,2026-02-24T03:21:06.823223Z,13,0.958197097020628,0.971942446043166
181,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,1,1,16381,1,all,2026-02-24T03:19:50.628913Z,2026-02-24T03:19:51.573302Z,15,0.5,0.969796814936848
182,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,1,1,16381,4,all,2026-02-24T03:19:51.578090Z,2026-02-24T03:19:52.491955Z,15,0.5,0.969086987778577
183,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,2,1,16381,7,all,2026-02-24T03:19:52.060598Z,2026-02-24T03:19:53.174135Z,27,0.5,0.969796814936848
184,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,2,1,16381,10,all,2026-02-24T03:19:52.496683Z,2026-02-24T03:19:53.266135Z,15,0.5,0.969075871988493
185,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,3,1,16381,13,all,2026-02-24T03:19:53.181016Z,2026-02-24T03:19:53.825286Z,27,0.5,0.969796814936848
186,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,3,1,16381,16,all,2026-02-24T03:19:53.270859Z,2026-02-24T03:19:54.077785Z,15,0.5,0.969075871988493
187,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,4,1,16381,19,all,2026-02-24T03:19:53.830805Z,2026-02-24T03:19:54.521703Z,27,0.5,0.969796814936848
188,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,4,1,16381,22,all,2026-02-24T03:19:54.082001Z,2026-02-24T03:19:54.896561Z,15,0.5,0.969075871988493
189,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,5,1,16381,25,all,2026-02-24T03:19:54.527773Z,2026-02-24T03:19:55.119249Z,27,0.5,0.969796814936848
18,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,9,1,41408,54,all,2026-02-24T03:17:56.617355Z,2026-02-24T03:23:04.960586Z,65,0.971598821346721,0.97841726618705
190,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,5,1,16381,28,all,2026-02-24T03:19:54.900708Z,2026-02-24T03:19:55.654788Z,15,0.5,0.969075871988493
191,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,6,1,16381,31,all,2026-02-24T03:19:55.124837Z,2026-02-24T03:19:55.719046Z,27,0.5,0.969796814936848
192,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,6,1,16381,34,all,2026-02-24T03:19:55.658958Z,2026-02-24T03:19:56.443022Z,15,0.5,0.969075871988493
193,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,7,1,16381,37,all,2026-02-24T03:19:55.724319Z,2026-02-24T03:19:56.686019Z,27,0.5,0.970313358988455
194,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,7,1,16381,40,all,2026-02-24T03:19:56.448057Z,2026-02-24T03:19:57.362031Z,15,0.5,0.969075871988493
195,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,8,1,16381,43,all,2026-02-24T03:19:56.692317Z,2026-02-24T03:19:57.285430Z,27,0.5,0.970313358988455
196,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,8,1,16381,46,all,2026-02-24T03:19:57.291213Z,2026-02-24T03:19:57.895274Z,27,0.5,0.969424460431655
197,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,9,1,16381,49,all,2026-02-24T03:19:57.366564Z,2026-02-24T03:19:58.144863Z,15,0.5,0.970313358988455
198,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,9,1,16381,52,all,2026-02-24T03:19:57.900527Z,2026-02-24T03:19:58.513892Z,27,0.5,0.969424460431655
199,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,all,41408,10,1,16381,55,all,2026-02-24T03:19:58.150083Z,2026-02-24T03:19:58.895374Z,15,0.5,0.970313358988455
